City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,adre,13.4667,22.2,73.29,79,100,2.28,TD,1661713361
84,deputatskiy,69.3,139.9,43.41,80,100,1.77,RU,1661713363
85,mikhaylovskoye,51.8239,79.7172,55.67,51,5,3.42,RU,1661713366
86,cayenne,4.9333,-52.3333,87.84,66,20,12.66,GF,1661713204
87,torbay,47.6666,-52.7314,72.39,67,5,5.01,CA,1661713374
88,sioux lookout,50.1001,-91.917,73.47,73,100,12.66,CA,1661713120
89,cidreira,-30.1811,-50.2056,54.41,55,100,18.1,BR,1661713383
90,souillac,-20.5167,57.5167,70.16,88,27,10.02,MU,1661713385
91,henties bay,-22.116,14.2845,54.19,90,1,9.82,NA,1661713387
92,akyab,20.15,92.9,80.06,85,93,3.47,MM,1661713390
93,arona,28.0996,-16.681,69.98,77,40,16.11,ES,1661713392
94,madanapalle,13.55,78.5,74.97,80,83,1.95,IN,1661713394
95,castro marim,37.2207,-7.4435,76.28,66,60,8.37,PT,1661713397
96,esperance,-33.8667,121.9,51.49,62,63,8.08,AU,1661713399
97,te anau,-45.4167,167.7167,36.91,93,42,0.98,NZ,1661713404
98,spokane,47.6166,-117.3677,72.19,36,8,3.0,US,1661713147
99,thompson,55.7435,-97.8558,80.67,43,79,7.87,CA,1661713408
100,cherskiy,68.75,161.3,53.74,69,100,6.49,RU,1661713410
101,camacupa,-12.0167,17.4833,75.52,41,99,8.3,AO,1661713389
102,barrow,71.2906,-156.7887,39.22,93,100,4.61,US,1661713415
103,sucua,-2.4667,-78.1667,75.94,68,75,3.44,EC,1661713417
104,axim,4.8699,-2.2405,75.11,83,100,8.59,GH,1661713419
105,hithadhoo,-0.6,73.0833,82.17,74,100,14.03,MV,1661713422
106,cape town,-33.9258,18.4232,55.35,66,4,1.99,ZA,1661713359
107,vardo,70.3705,31.1107,48.18,93,100,5.75,NO,1661713393
108,ponta do sol,32.6667,-17.1,74.01,67,61,4.43,PT,1661713428
109,albany,42.6001,-73.9662,83.17,65,79,5.01,US,1661713142
110,alice springs,-23.7,133.8833,54.95,33,100,5.75,AU,1661713355
111,swan hill,-35.3378,143.5544,55.65,90,100,15.75,AU,1661713437
112,celestun,20.8667,-90.4,88.84,61,5,10.04,MX,1661713439
113,san jose,37.3394,-121.895,82.53,53,0,9.22,US,1661713440
114,avarua,-21.2078,-159.775,75.25,83,11,9.22,CK,1661713444
115,quatre cocos,-20.2078,57.7625,71.1,87,49,11.32,MU,1661713446
116,edeia,-17.3383,-49.9314,93.07,15,4,7.2,BR,1661713448
117,ossora,59.2353,163.0719,53.71,95,100,5.91,RU,1661713451
118,lavrentiya,65.5833,-171.0,41.49,77,7,1.07,RU,1661713453
119,port elizabeth,-33.918,25.5701,58.32,85,96,4.0,ZA,1661713455
120,sakaraha,-22.9,44.5333,68.52,37,5,8.72,MG,1661713458
121,sakakah,29.9697,40.2064,93.78,12,2,7.36,SA,1661713460
122,hasaki,35.7333,140.8333,68.29,75,100,16.49,JP,1661713462
123,clyde river,70.4692,-68.5914,40.28,78,89,4.45,CA,1661713465
124,pangnirtung,66.1451,-65.7125,47.3,59,93,4.38,CA,1661713467
125,luan,46.3592,6.9759,62.46,81,0,1.77,CH,1661713471
126,saldanha,-33.0117,17.9442,54.82,66,4,9.95,ZA,1661713474
127,deer lake,49.1667,-57.4316,70.59,42,9,13.13,CA,1661713476
128,vargashi,55.3556,65.8467,59.92,55,7,8.21,RU,1661713478
129,pevek,69.7008,170.3133,39.6,78,56,3.89,RU,1661713481
130,chokurdakh,70.6333,147.9167,45.0,79,100,7.11,RU,1661713483
131,hobart,-42.8794,147.3294,53.26,84,100,2.3,AU,1661713485
132,kawalu,-7.3817,108.2082,69.04,90,100,1.43,ID,1661713488
133,makakilo city,21.3469,-158.0858,79.68,73,5,16.33,US,1661713274
134,san ramon,37.7799,-121.978,79.27,60,0,4.0,US,1661713324
135,saa,4.3667,11.45,69.21,98,98,3.36,CM,1661713494
136,serenje,-13.2325,30.2352,63.95,40,0,3.8,ZM,1661713498
137,katsuura,35.1333,140.3,74.14,79,98,17.18,JP,1661713501
138,inongo,-1.95,18.2667,70.02,89,28,5.3,CD,1661713503
139,tura,25.5198,90.2201,73.33,97,100,3.98,IN,1661713505
140,san matias,-16.3667,-58.4,94.14,23,100,4.07,BO,1661713508
141,viedma,-40.8135,-62.9967,61.74,16,0,14.36,AR,1661713510
142,tevriz,57.509,72.4042,52.65,80,7,5.93,RU,1661713512
143,capissayan,18.0509,121.8177,74.66,96,100,2.55,PH,1661713515
144,ibipeba,-11.6408,-42.0111,86.34,22,0,6.15,BR,1661713517
145,nikolskoye,59.7035,30.7861,75.79,58,93,2.77,RU,1661713521
146,bethel,41.3712,-73.414,83.35,63,75,4.61,US,1661713469
147,fort dodge,42.4975,-94.168,87.55,61,20,14.97,US,1661713526
148,shingu,33.7333,135.9833,76.06,88,99,11.39,JP,1661713528
